
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          7.50e-06  5.87e-02    0.0    0.0    0.0
   1   1  1.00e+00  1.03e-02  2.09e-06  5.33e-02    0.0    0.0    0.0
   2   1  1.00e+00  7.14e-03  5.23e-07  5.04e-02    0.0    0.0    0.0
   3   1  1.00e+00  4.36e-03  1.31e-07  4.90e-02    0.0    0.0    0.0
   4   1  1.00e+00  2.12e-03  2.59e-08  4.84e-02    0.0    0.0    0.0
   5   1  1.00e+00  6.21e-04  1.99e-09  4.83e-02    0.0    0.0    0.0
   6   1  1.00e+00  5.51e-05  1.52e-11  4.83e-02    0.0    0.0    0.0
   7   1  1.00e+00  4.24e-07  8.93e-16  4.83e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.8284e-02      1  EP      2.4780e-02   3.1416e-02
    1  00:00:00   4.7933e-02      2  SN      2.4608e-02   3.1416e-02
    1  00:00:00   4.7933e-02      3  BP      2.4608e-02   3.1416e-02
   60  00:00:00   3.4452e-02      4  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.8284e-02      5  EP      2.4780e-02   3.1416e-02
  125  00:00:00   1.5776e-01      6  UZ      7.8540e-02   3.1416e-02
  283  00:00:01   3.1464e-01      7  UZ      1.5708e-01   3.1416e-02
  441  00:00:02   4.7158e-01      8  UZ      2.3562e-01   3.1416e-02
  598  00:00:03   6.2858e-01      9  UZ      3.1416e-01   3.1416e-02
  755  00:00:03   7.8561e-01     10  EP      3.9270e-01   3.1416e-02
